,file,transcript,hindi_target,hindi_translated
50,MAN_NP_3389_1177671A, ONE ONE SEVEN SEVEN SIX SEVEN ONE,एक एक सात सात छः सात एक,एक सात एक सात छः सात एक
51,MAN_NP_3398_25O22A, TWO FIVE ZERO TWO TWO,दो पांच शून्य दो दो,दो पांच दो शून्य दो
52,MAN_NP_3436_8169ZZ8A, EIGHT ONE SIX NINE ZERO ZERO EIGHT,आठ एक छः नौ शून्य शून्य आठ,आठ एक छः शून्य नौ शून्य आठ
53,MAN_NT_3472_1O13126A, ONE ZERO ONE THREE ONE TWO SIX,एक शून्य एक तीन एक दो छः,एक एक शून्य तीन एक दो छः
54,MAN_NT_3502_685O882A, SIX EIGHT FIVE ZERO EIGHT EIGHT TWO,छः आठ पांच शून्य आठ आठ दो,छः आठ पांच आठ शून्य आठ दो
55,MAN_PC_3550_211O889A, TWO ONE ONE ZERO EIGHT EIGHT NINE,दो एक एक शून्य आठ आठ नौ,दो एक एक आठ शून्य आठ नौ
56,MAN_PG_3655_652586OA, SIX FIVE TWO FIVE EIGHT SIX ZERO,छः पांच दो पांच आठ छः शून्य,छः पांच दो पांच आठ शून्य छः
57,MAN_PG_3680_9O1O299A, NINE ZERO ONE ZERO TWO NINE NINE,नौ शून्य एक शून्य दो नौ नौ,शून्य नौ एक शून्य दो नौ नौ
58,MAN_PR_3806_5Z22776A, FIVE ZERO TWO TWO SEVEN SEVEN SIX,पांच शून्य दो दो सात सात छः,पांच शून्य दो सात दो सात छः
59,MAN_PR_3824_89343OOA, EIGHT NINE THREE FOUR THREE ZERO ZERO,आठ नौ तीन चार तीन शून्य शून्य,आठ नौ तीन चार शून्य तीन शून्य
60,MAN_PR_3843_Z418874A, ZERO FOUR ONE EIGHT EIGHT SEVEN FOUR,शून्य चार एक आठ आठ सात चार,शून्य चार आठ एक आठ सात चार
61,MAN_SA_3949_44OO942A, FOUR FOUR ZERO ZERO NINE FOUR TWO,चार चार शून्य शून्य नौ चार दो,चार शून्य चार शून्य चार नौ दो
62,MAN_SR_4151_Z483667A, ZERO FOUR EIGHT THREE SIX SIX SEVEN,शून्य चार आठ तीन छः छः सात,शून्य चार आठ छः तीन सात छः
63,MAN_SW_4205_7O585O8A, SEVEN ZERO FIVE EIGHT FIVE ZERO EIGHT,सात शून्य पांच आठ पांच शून्य आठ,सात शून्य पांच आठ पांच आठ शून्य
64,MAN_TC_4262_4Z3667ZA, FOUR ZERO THREE SIX SIX SEVEN ZERO,चार शून्य तीन छः छः सात शून्य,चार शून्य छः तीन छः सात शून्य
65,WOMAN_AK_4427_6654599A, SIX SIX FIVE FOUR FIVE NINE NINE,छः छः पांच चार पांच नौ नौ,छः छः पांच पांच चार नौ नौ
66,WOMAN_AP_4467_1121851A, ONE ONE TWO ONE EIGHT FIVE ONE,एक एक दो एक आठ पांच एक,एक एक दो आठ एक पांच एक
67,WOMAN_AP_4493_4ZZ4722A, FOUR ZERO ZERO FOUR SEVEN TWO TWO,चार शून्य शून्य चार सात दो दो,शून्य चार चार शून्य सात दो दो
68,WOMAN_AP_4510_7811688A, SEVEN EIGHT ONE ONE SIX EIGHT EIGHT,सात आठ एक एक छः आठ आठ,सात एक आठ छः एक आठ आठ
69,WOMAN_BA_4551_2122883A, TWO ONE TWO TWO EIGHT EIGHT THREE,दो एक दो दो आठ आठ तीन,दो एक दो आठ दो आठ तीन
70,WOMAN_BA_4570_4O662A, FOUR ZERO SIX SIX TWO,चार शून्य छः छः दो,चार छः शून्य छः दो
71,WOMAN_BA_4578_61OO133A, SIX ONE ZERO ZERO ONE THREE THREE,छः एक शून्य शून्य एक तीन तीन,छः शून्य एक एक शून्य तीन तीन
72,WOMAN_BJ_4769_Z991A, ZERO NINE NINE ONE,शून्य नौ नौ एक,नौ शून्य एक नौ
73,WOMAN_BL_4821_7O449A, SEVEN ZERO FOUR FOUR NINE,सात शून्य चार चार नौ,सात चार शून्य चार नौ
74,WOMAN_BS_4859_223Z773A, TWO TWO THREE ZERO SEVEN SEVEN THREE,दो दो तीन शून्य सात सात तीन,दो दो शून्य तीन सात सात तीन
75,WOMAN_BS_4881_555Z971A, FIVE FIVE FIVE ZERO NINE SEVEN ONE,पांच पांच पांच शून्य नौ सात एक,पांच पांच पांच नौ शून्य सात एक
76,WOMAN_BS_4907_9464ZZ4A, NINE FOUR SIX FOUR ZERO ZERO FOUR,नौ चार छः चार शून्य शून्य चार,नौ चार छः शून्य चार चार शून्य
77,WOMAN_CD_5027_4454684A, FOUR FOUR FIVE FOUR SIX EIGHT FOUR,चार चार पांच चार छः आठ चार,चार चार पांच चार आठ छः चार
78,WOMAN_CD_5074_Z188A, ZERO ONE EIGHT EIGHT,शून्य एक आठ आठ,एक शून्य आठ आठ
79,WOMAN_CS_5207_8424Z41A, EIGHT FOUR TWO FOUR ZERO FOUR ONE,आठ चार दो चार शून्य चार एक,आठ चार दो चार शून्य एक चार
80,WOMAN_CT_5269_5OO9O49A, FIVE ZERO ZERO NINE ZERO FOUR NINE,पांच शून्य शून्य नौ शून्य चार नौ,शून्य पांच शून्य नौ शून्य चार नौ
81,WOMAN_CT_5276_6ZZ66A, SIX ZERO ZERO SIX SIX,छः शून्य शून्य छः छः,शून्य छः छः शून्य छः
82,WOMAN_CT_5304_OOO9989A, ZERO ZERO ZERO NINE NINE EIGHT NINE,शून्य शून्य शून्य नौ नौ आठ नौ,शून्य शून्य शून्य नौ आठ नौ नौ
83,WOMAN_DP_5320_1Z665A, ONE ZERO SIX SIX FIVE,एक शून्य छः छः पांच,एक छः शून्य छः पांच
84,WOMAN_DP_5324_2694197A, TWO SIX NINE FOUR ONE NINE SEVEN,दो छः नौ चार एक नौ सात,दो छः नौ एक चार नौ सात
85,WOMAN_DR_5397_1ZZZ564A, ONE ZERO ZERO ZERO FIVE SIX FOUR,एक शून्य शून्य शून्य पांच छः चार,शून्य एक शून्य शून्य पांच छः चार
86,WOMAN_DR_5401_2922O7OA, TWO NINE TWO TWO ZERO SEVEN ZERO,दो नौ दो दो शून्य सात शून्य,दो दो नौ शून्य दो सात शून्य
87,WOMAN_DR_5453_O4559A, ZERO FOUR FIVE FIVE NINE,शून्य चार पांच पांच नौ,शून्य पांच चार पांच नौ
88,WOMAN_DW_5474_1O5OO45A, ONE ZERO FIVE ZERO ZERO FOUR FIVE,एक शून्य पांच शून्य शून्य चार पांच,एक शून्य शून्य पांच पांच चार शून्य
89,WOMAN_DW_5497_5274155A, FIVE TWO SEVEN FOUR ONE FIVE FIVE,पांच दो सात चार एक पांच पांच,दो पांच सात चार एक पांच पांच
90,WOMAN_EJ_5569_479OO9OA, FOUR SEVEN NINE ZERO ZERO NINE ZERO,चार सात नौ शून्य शून्य नौ शून्य,चार सात शून्य नौ नौ शून्य शून्य
91,WOMAN_EP_5759_9ZZZ4A, NINE ZERO ZERO ZERO FOUR,नौ शून्य शून्य शून्य चार,शून्य नौ शून्य शून्य चार
92,WOMAN_ER_5840_O9O8464A, ZERO NINE ZERO EIGHT FOUR SIX FOUR,शून्य नौ शून्य आठ चार छः चार,शून्य नौ आठ शून्य चार छः चार
93,WOMAN_ER_5845_Z3399A, ZERO THREE THREE NINE NINE,शून्य तीन तीन नौ नौ,तीन शून्य नौ तीन नौ
94,WOMAN_EW_5859_1ZZZ162A, ONE ZERO ZERO ZERO ONE SIX TWO,एक शून्य शून्य शून्य एक छः दो,शून्य एक शून्य एक शून्य छः दो
95,WOMAN_EW_5873_41OO631A, FOUR ONE ZERO ZERO SIX THREE ONE,चार एक शून्य शून्य छः तीन एक,चार शून्य एक शून्य छः तीन एक
96,WOMAN_FN_5936_1ZZ1423A, ONE ZERO ZERO ONE FOUR TWO THREE,एक शून्य शून्य एक चार दो तीन,शून्य एक एक शून्य चार दो तीन
97,WOMAN_GB_6060_8Z86712A, EIGHT ZERO EIGHT SIX SEVEN ONE TWO,आठ शून्य आठ छः सात एक दो,आठ आठ शून्य छः सात एक दो
98,WOMAN_GL_6167_1ZZZ1A, ONE ZERO ZERO ZERO ONE,एक शून्य शून्य शून्य एक,शून्य एक शून्य शून्य एक
99,WOMAN_GL_6180_3Z11A, THREE ZERO ONE ONE,तीन शून्य एक एक,तीन एक शून्य एक
100,WOMAN_ID_6482_2ZZZ229A, TWO ZERO ZERO ZERO TWO TWO NINE,दो शून्य शून्य शून्य दो दो नौ,दो शून्य शून्य दो शून्य दो नौ
101,WOMAN_ID_6537_Z118A, ZERO ONE ONE EIGHT,शून्य एक एक आठ,एक शून्य आठ एक
102,WOMAN_IW_6625_17ZZ2ZZA, ONE SEVEN ZERO ZERO TWO ZERO ZERO,एक सात शून्य शून्य दो शून्य शून्य,एक शून्य सात शून्य दो शून्य शून्य
103,WOMAN_IW_6673_8866863A, EIGHT EIGHT SIX SIX EIGHT SIX THREE,आठ आठ छः छः आठ छः तीन,आठ आठ छः छः छः आठ तीन
104,WOMAN_JE_6788_2928244A, TWO NINE TWO EIGHT TWO FOUR FOUR,दो नौ दो आठ दो चार चार,दो दो नौ आठ दो चार चार
105,WOMAN_JE_6849_Z881A, ZERO EIGHT EIGHT ONE,शून्य आठ आठ एक,आठ शून्य आठ एक
106,WOMAN_JW_6868_3167OO1A, THREE ONE SIX SEVEN ZERO ZERO ONE,तीन एक छः सात शून्य शून्य एक,तीन एक छः शून्य सात शून्य एक
107,WOMAN_JW_6923_Z2Z1774A, ZERO TWO ZERO ONE SEVEN SEVEN FOUR,शून्य दो शून्य एक सात सात चार,शून्य दो शून्य सात एक सात चार
108,WOMAN_KB_6951_4324842A, FOUR THREE TWO FOUR EIGHT FOUR TWO,चार तीन दो चार आठ चार दो,चार तीन दो चार आठ दो चार
109,WOMAN_KB_6981_889O976A, EIGHT EIGHT NINE ZERO NINE SEVEN SIX,आठ आठ नौ शून्य नौ सात छः,आठ आठ नौ नौ शून्य सात छः
110,WOMAN_KB_6993_O33A, ZERO THREE THREE,शून्य तीन तीन,तीन शून्य तीन
111,WOMAN_KJ_7021_2Z69477A, TWO ZERO SIX NINE FOUR SEVEN SEVEN,दो शून्य छः नौ चार सात सात,दो शून्य छः नौ सात चार सात
112,WOMAN_KJ_7023_344275ZA, THREE FOUR FOUR TWO SEVEN FIVE ZERO,तीन चार चार दो सात पांच शून्य,चार तीन दो चार सात पांच शून्य
113,WOMAN_LR_7314_3OO2192A, THREE ZERO ZERO TWO ONE NINE TWO,तीन शून्य शून्य दो एक नौ दो,तीन शून्य शून्य दो एक दो नौ
114,WOMAN_LR_7381_O8874A, ZERO EIGHT EIGHT SEVEN FOUR,शून्य आठ आठ सात चार,आठ शून्य सात आठ चार
115,WOMAN_MC_7449_9726881A, NINE SEVEN TWO SIX EIGHT EIGHT ONE,नौ सात दो छः आठ आठ एक,नौ सात दो आठ छः आठ एक
116,WOMAN_ML_7579_5O5536OA, FIVE ZERO FIVE FIVE THREE SIX ZERO,पांच शून्य पांच पांच तीन छः शून्य,पांच पांच शून्य पांच तीन छः शून्य
117,WOMAN_ML_7603_94O3O45A, NINE FOUR ZERO THREE ZERO FOUR FIVE,नौ चार शून्य तीन शून्य चार पांच,नौ शून्य चार तीन शून्य चार पांच
118,WOMAN_PF_7845_OO99888A, ZERO ZERO NINE NINE EIGHT EIGHT EIGHT,शून्य शून्य नौ नौ आठ आठ आठ,शून्य शून्य नौ आठ नौ आठ आठ
119,WOMAN_PJ_7863_2661389A, TWO SIX SIX ONE THREE EIGHT NINE,दो छः छः एक तीन आठ नौ,दो छः छः एक आठ तीन नौ
120,WOMAN_PL_7994_O583779A, ZERO FIVE EIGHT THREE SEVEN SEVEN NINE,शून्य पांच आठ तीन सात सात नौ,शून्य पांच आठ सात तीन सात नौ
121,WOMAN_PT_8106_42136ZZA, FOUR TWO ONE THREE SIX ZERO ZERO,चार दो एक तीन छः शून्य शून्य,चार दो एक तीन शून्य छः शून्य
122,WOMAN_PT_8112_4ZZ2Z66A, FOUR ZERO ZERO TWO ZERO SIX SIX,चार शून्य शून्य दो शून्य छः छः,शून्य चार शून्य दो शून्य छः छः
123,WOMAN_PT_8148_O33A, ZERO THREE THREE,शून्य तीन तीन,तीन शून्य तीन
124,WOMAN_RG_8230_OOO824OA, ZERO ZERO ZERO EIGHT TWO FOUR ZERO,शून्य शून्य शून्य आठ दो चार शून्य,शून्य शून्य आठ शून्य दो चार शून्य
125,WOMAN_RL_8247_2117OA, TWO ONE ONE SEVEN ZERO,दो एक एक सात शून्य,दो एक एक शून्य सात
126,WOMAN_SI_8462_Z119A, ZERO ONE ONE NINE,शून्य एक एक नौ,एक शून्य एक नौ
127,WOMAN_SM_8479_2346455A, TWO THREE FOUR SIX FOUR FIVE FIVE,दो तीन चार छः चार पांच पांच,दो तीन चार छः पांच चार पांच
128,WOMAN_TB_8686_O3396A, ZERO THREE THREE NINE SIX,शून्य तीन तीन नौ छः,तीन शून्य नौ तीन छः
