,file,transcript,hindi_target,hindi_translated
48,MAN_AH_148_Z59A, ZERO FIVE NINE,शून्य पांच नौ, शून्य पांच नौ _END
49,MAN_AH_149_Z7A, ZERO SEVEN,शून्य सात, शून्य सात _END
50,MAN_AH_150_Z877A, ZERO EIGHT SEVEN SEVEN,शून्य आठ सात सात, शून्य आठ सात सात _END
51,MAN_AH_151_ZA, ZERO,शून्य, शून्य _END
52,MAN_AH_152_ZB, ZERO,शून्य, शून्य _END
53,MAN_AH_153_ZZA, ZERO ZERO,शून्य शून्य, शून्य शून्य _END
54,MAN_AH_77_3O33951A, THREE ZERO THREE THREE NINE FIVE ONE,तीन शून्य तीन तीन नौ पांच एक, तीन तीन शून्य तीन नौ पांच एक _END
55,MAN_AH_78_6B, SIX,छः, छः _END
56,MAN_AH_79_111A, ONE ONE ONE,एक एक एक, एक एक एक _END
57,MAN_AH_80_139OA, ONE THREE NINE ZERO,एक तीन नौ शून्य, एक तीन नौ शून्य _END
58,MAN_AH_81_155A, ONE FIVE FIVE,एक पांच पांच, एक पांच पांच _END
59,MAN_AH_82_1688A, ONE SIX EIGHT EIGHT,एक छः आठ आठ, एक छः आठ आठ _END
60,MAN_AH_83_1A, ONE,एक, एक _END
61,MAN_AH_84_1B, ONE,एक, एक _END
62,MAN_AH_85_1ZA, ONE ZERO,एक शून्य, एक शून्य _END
63,MAN_AH_86_24Z982ZA, TWO FOUR ZERO NINE EIGHT TWO ZERO,दो चार शून्य नौ आठ दो शून्य, दो चार शून्य नौ आठ दो शून्य _END
64,MAN_AH_87_25896O4A, TWO FIVE EIGHT NINE SIX ZERO FOUR,दो पांच आठ नौ छः शून्य चार, दो पांच आठ नौ छः शून्य चार _END
65,MAN_AH_88_27O6571A, TWO SEVEN ZERO SIX FIVE SEVEN ONE,दो सात शून्य छः पांच सात एक, दो सात शून्य छः पांच सात एक _END
66,MAN_AH_89_2934ZA, TWO NINE THREE FOUR ZERO,दो नौ तीन चार शून्य, दो नौ तीन चार शून्य _END
67,MAN_AH_90_2A, TWO,दो, दो _END
68,MAN_AH_91_2B, TWO,दो, दो _END
69,MAN_AH_92_2O5A, TWO ZERO FIVE,दो शून्य पांच, दो शून्य पांच _END
70,MAN_AH_93_31O2A, THREE ONE ZERO TWO,तीन एक शून्य दो, तीन एक शून्य दो _END
71,MAN_AH_94_35OA, THREE FIVE ZERO,तीन पांच शून्य, तीन पांच शून्य _END
72,MAN_AH_95_3781A, THREE SEVEN EIGHT ONE,तीन सात आठ एक, तीन सात आठ एक _END
73,MAN_AH_96_3A, THREE,तीन, तीन _END
74,MAN_AH_97_3B, THREE,तीन, तीन _END
75,MAN_AH_98_3OA, THREE ZERO,तीन शून्य, तीन शून्य _END
76,MAN_AH_99_4151A, FOUR ONE FIVE ONE,चार एक पांच एक, चार एक पांच एक _END
77,MAN_AR_154_3A, THREE,तीन, तीन _END
78,MAN_AR_155_699A, SIX NINE NINE,छः नौ नौ, छः नौ नौ _END
79,MAN_AR_156_13ZZ637A, ONE THREE ZERO ZERO SIX THREE SEVEN,एक तीन शून्य शून्य छः तीन सात, एक तीन शून्य शून्य छः तीन सात _END
80,MAN_AR_157_16A, ONE SIX,एक छः, एक छः _END
81,MAN_AR_158_19A, ONE NINE,एक नौ, एक नौ _END
82,MAN_AR_159_19Z7A, ONE NINE ZERO SEVEN,एक नौ शून्य सात, एक नौ शून्य सात _END
83,MAN_AR_160_1A, ONE,एक, एक _END
84,MAN_AR_161_1B, ONE,एक, एक _END
85,MAN_AR_162_1O66739A, ONE ZERO SIX SIX SEVEN THREE NINE,एक शून्य छः छः सात तीन नौ, एक शून्य छः छः सात तीन नौ _END
86,MAN_AR_163_2392A, TWO THREE NINE TWO,दो तीन नौ दो, दो तीन नौ दो _END
87,MAN_AR_164_2554454A, TWO FIVE FIVE FOUR FOUR FIVE FOUR,दो पांच पांच चार चार पांच चार, दो पांच पांच चार पांच चार चार _END
88,MAN_AR_165_28A, TWO EIGHT,दो आठ, दो आठ _END
89,MAN_AR_166_2A, TWO,दो, दो _END
90,MAN_AR_167_2B, TWO,दो, दो _END
91,MAN_AR_168_2O15OA, TWO ZERO ONE FIVE ZERO,दो शून्य एक पांच शून्य, दो शून्य एक पांच शून्य _END
92,MAN_AR_169_2O2A, TWO ZERO TWO,दो शून्य दो, दो शून्य दो _END
93,MAN_AR_170_31Z5881A, THREE ONE ZERO FIVE EIGHT EIGHT ONE,तीन एक शून्य पांच आठ आठ एक, तीन एक शून्य पांच आठ आठ एक _END
94,MAN_AR_171_3268A, THREE TWO SIX EIGHT,तीन दो छः आठ, तीन दो छः आठ _END
95,MAN_AR_172_331A, THREE THREE ONE,तीन तीन एक, तीन तीन एक _END
96,MAN_AR_173_35A, THREE FIVE,तीन पांच, तीन पांच _END
97,MAN_AR_174_3652A, THREE SIX FIVE TWO,तीन छः पांच दो, तीन छः पांच दो _END
98,MAN_AR_175_3B, THREE,तीन, तीन _END
99,MAN_AR_176_42722A, FOUR TWO SEVEN TWO TWO,चार दो सात दो दो, चार दो सात दो दो _END
100,MAN_AR_177_4538A, FOUR FIVE THREE EIGHT,चार पांच तीन आठ, चार पांच तीन आठ _END
101,MAN_AR_178_46211Z8A, FOUR SIX TWO ONE ONE ZERO EIGHT,चार छः दो एक एक शून्य आठ, चार छः दो एक एक शून्य आठ _END
102,MAN_AR_179_47OA, FOUR SEVEN ZERO,चार सात शून्य, चार सात शून्य _END
103,MAN_AR_180_4A, FOUR,चार, चार _END
104,MAN_AR_181_4B, FOUR,चार, चार _END
105,MAN_AR_182_4Z3Z9A, FOUR ZERO THREE ZERO NINE,चार शून्य तीन शून्य नौ, चार शून्य तीन शून्य नौ _END
106,MAN_AR_183_5376869A, FIVE THREE SEVEN SIX EIGHT SIX NINE,पांच तीन सात छः आठ छः नौ, पांच तीन सात छः आठ छः नौ _END
107,MAN_AR_184_563ZZA, FIVE SIX THREE ZERO ZERO,पांच छः तीन शून्य शून्य, पांच छः तीन शून्य शून्य _END
108,MAN_AR_185_59434A, FIVE NINE FOUR THREE FOUR,पांच नौ चार तीन चार, पांच नौ चार तीन चार _END
109,MAN_AR_186_5A, FIVE,पांच, पांच _END
110,MAN_AR_187_5B, FIVE,पांच, पांच _END
111,MAN_AR_188_5OA, FIVE ZERO,पांच शून्य, पांच शून्य _END
112,MAN_AR_189_5ZA, FIVE ZERO,पांच शून्य, पांच शून्य _END
113,MAN_AR_190_61O6OA, SIX ONE ZERO SIX ZERO,छः एक शून्य छः शून्य, छः एक शून्य छः शून्य _END
114,MAN_AR_191_626OA, SIX TWO SIX ZERO,छः दो छः शून्य, छः दो छः शून्य _END
115,MAN_AR_192_6414A, SIX FOUR ONE FOUR,छः चार एक चार, छः चार एक चार _END
116,MAN_AR_193_66O1348A, SIX SIX ZERO ONE THREE FOUR EIGHT,छः छः शून्य एक तीन चार आठ, छः छः शून्य एक तीन चार आठ _END
117,MAN_AR_194_6A, SIX,छः, छः _END
118,MAN_AR_195_6B, SIX,छः, छः _END
119,MAN_AR_196_7529A, SEVEN FIVE TWO NINE,सात पांच दो नौ, सात पांच दो नौ _END
120,MAN_AR_197_7567979A, SEVEN FIVE SIX SEVEN NINE SEVEN NINE,सात पांच छः सात नौ सात नौ, सात पांच छः सात नौ सात नौ _END
121,MAN_AR_198_7764214A, SEVEN SEVEN SIX FOUR TWO ONE FOUR,सात सात छः चार दो एक चार, सात सात छः चार दो एक चार _END
122,MAN_AR_199_7A, SEVEN,सात, सात _END
123,MAN_AR_200_7B, SEVEN,सात, सात _END
124,MAN_AR_201_7O78A, SEVEN ZERO SEVEN EIGHT,सात शून्य सात आठ, सात शून्य सात आठ _END
125,MAN_AR_202_7Z7A, SEVEN ZERO SEVEN,सात शून्य सात, सात शून्य सात _END
126,MAN_AR_203_818A, EIGHT ONE EIGHT,आठ एक आठ, आठ एक आठ _END
127,MAN_AR_204_8382A, EIGHT THREE EIGHT TWO,आठ तीन आठ दो, आठ तीन आठ दो _END
128,MAN_AR_205_89518A, EIGHT NINE FIVE ONE EIGHT,आठ नौ पांच एक आठ, आठ नौ पांच एक आठ _END
129,MAN_AR_206_8A, EIGHT,आठ, आठ _END
130,MAN_AR_207_8B, EIGHT,आठ, आठ _END
131,MAN_AR_208_8Z11243A, EIGHT ZERO ONE ONE TWO FOUR THREE,आठ शून्य एक एक दो चार तीन, आठ शून्य एक एक दो चार तीन _END
132,MAN_AR_209_8Z859A, EIGHT ZERO EIGHT FIVE NINE,आठ शून्य आठ पांच नौ, आठ शून्य आठ पांच नौ _END
133,MAN_AR_210_91A, NINE ONE,नौ एक, नौ एक _END
134,MAN_AR_211_92Z4ZA, NINE TWO ZERO FOUR ZERO,नौ दो शून्य चार शून्य, नौ दो शून्य चार शून्य _END
135,MAN_AR_212_93OA, NINE THREE ZERO,नौ तीन शून्य, नौ तीन शून्य _END
136,MAN_AR_213_988O9A, NINE EIGHT EIGHT ZERO NINE,नौ आठ आठ शून्य नौ, नौ आठ आठ शून्य नौ _END
137,MAN_AR_214_9A, NINE,नौ, नौ _END
138,MAN_AR_215_9B, NINE,नौ, नौ _END
139,MAN_AR_216_9O729A, NINE ZERO SEVEN TWO NINE,नौ शून्य सात दो नौ, नौ शून्य सात दो नौ _END
140,MAN_AR_217_O3A, ZERO THREE,शून्य तीन, शून्य तीन _END
141,MAN_AR_218_O4A, ZERO FOUR,शून्य चार, शून्य चार _END
142,MAN_AR_219_O4B, ZERO FOUR,शून्य चार, शून्य चार _END
143,MAN_AR_220_O878A, ZERO EIGHT SEVEN EIGHT,शून्य आठ सात आठ, शून्य आठ सात आठ _END
144,MAN_AR_221_OA, ZERO,शून्य, शून्य _END
145,MAN_AR_222_OB, ZERO,शून्य, शून्य _END
146,MAN_AR_223_OO5A, ZERO ZERO FIVE,शून्य शून्य पांच, शून्य शून्य पांच _END
147,MAN_AR_224_Z1A, ZERO ONE,शून्य एक, शून्य एक _END
148,MAN_AR_225_Z324849A, ZERO THREE TWO FOUR EIGHT FOUR NINE,शून्य तीन दो चार आठ चार नौ, शून्य तीन दो चार आठ चार नौ _END
149,MAN_AR_226_Z47A, ZERO FOUR SEVEN,शून्य चार सात, शून्य चार सात _END
150,MAN_AR_227_Z51A, ZERO FIVE ONE,शून्य पांच एक, शून्य पांच एक _END
151,MAN_AR_228_Z6ZA, ZERO SIX ZERO,शून्य छः शून्य, शून्य छः शून्य _END
152,MAN_AR_229_ZA, ZERO,शून्य, शून्य _END
153,MAN_AR_230_ZB, ZERO,शून्य, शून्य _END
154,MAN_AT_231_3B, THREE,तीन, तीन _END
155,MAN_AT_232_6A, SIX,छः, छः _END
156,MAN_AT_233_12857A, ONE TWO EIGHT FIVE SEVEN,एक दो आठ पांच सात, एक दो आठ पांच सात _END
157,MAN_AT_234_1394A, ONE THREE NINE FOUR,एक तीन नौ चार, एक तीन नौ चार _END
158,MAN_AT_235_14A, ONE FOUR,एक चार, एक चार _END
159,MAN_AT_236_1752O4OA, ONE SEVEN FIVE TWO ZERO FOUR ZERO,एक सात पांच दो शून्य चार शून्य, एक सात पांच दो शून्य चार शून्य _END
160,MAN_AT_237_18911A, ONE EIGHT NINE ONE ONE,एक आठ नौ एक एक, एक आठ नौ एक एक _END
161,MAN_AT_238_1A, ONE,एक, एक _END
162,MAN_AT_239_1B, ONE,एक, एक _END
163,MAN_AT_240_2149A, TWO ONE FOUR NINE,दो एक चार नौ, दो एक चार नौ _END
164,MAN_AT_241_2165482A, TWO ONE SIX FIVE FOUR EIGHT TWO,दो एक छः पांच चार आठ दो, दो एक छः पांच चार आठ दो _END
165,MAN_AT_242_225A, TWO TWO FIVE,दो दो पांच, दो दो पांच _END
166,MAN_AT_243_2461OA, TWO FOUR SIX ONE ZERO,दो चार छः एक शून्य, दो चार छः एक शून्य _END
167,MAN_AT_244_29A, TWO NINE,दो नौ, दो नौ _END
168,MAN_AT_245_2A, TWO,दो, दो _END
169,MAN_AT_246_2B, TWO,दो, दो _END
170,MAN_AT_247_3184A, THREE ONE EIGHT FOUR,तीन एक आठ चार, तीन एक आठ चार _END
171,MAN_AT_248_32O2A, THREE TWO ZERO TWO,तीन दो शून्य दो, तीन दो शून्य दो _END
172,MAN_AT_249_33Z23A, THREE THREE ZERO TWO THREE,तीन तीन शून्य दो तीन, तीन तीन शून्य दो तीन _END
173,MAN_AT_250_387OA, THREE EIGHT SEVEN ZERO,तीन आठ सात शून्य, तीन आठ सात शून्य _END
174,MAN_AT_251_3A, THREE,तीन, तीन _END
175,MAN_AT_252_3O716A, THREE ZERO SEVEN ONE SIX,तीन शून्य सात एक छः, तीन शून्य सात एक छः _END
176,MAN_AT_253_413A, FOUR ONE THREE,चार एक तीन, चार एक तीन _END
177,MAN_AT_254_42ZA, FOUR TWO ZERO,चार दो शून्य, चार दो शून्य _END
178,MAN_AT_255_43Z83A, FOUR THREE ZERO EIGHT THREE,चार तीन शून्य आठ तीन, चार तीन शून्य आठ तीन _END
179,MAN_AT_256_4496O15A, FOUR FOUR NINE SIX ZERO ONE FIVE,चार चार नौ छः शून्य एक पांच, चार चार नौ छः शून्य एक पांच _END
180,MAN_AT_257_4A, FOUR,चार, चार _END
181,MAN_AT_258_4B, FOUR,चार, चार _END
182,MAN_AT_259_4Z55268A, FOUR ZERO FIVE FIVE TWO SIX EIGHT,चार शून्य पांच पांच दो छः आठ, चार शून्य पांच पांच दो छः आठ _END
183,MAN_AT_260_51ZA, FIVE ONE ZERO,पांच एक शून्य, पांच एक शून्य _END
184,MAN_AT_261_537A, FIVE THREE SEVEN,पांच तीन सात, पांच तीन सात _END
185,MAN_AT_262_53A, FIVE THREE,पांच तीन, पांच तीन _END
186,MAN_AT_263_59356A, FIVE NINE THREE FIVE SIX,पांच नौ तीन पांच छः, पांच नौ तीन पांच छः _END
187,MAN_AT_264_5A, FIVE,पांच, पांच _END
188,MAN_AT_265_5B, FIVE,पांच, पांच _END
189,MAN_AT_266_627A, SIX TWO SEVEN,छः दो सात, छः दो सात _END
190,MAN_AT_267_6389Z9ZA, SIX THREE EIGHT NINE ZERO NINE ZERO,छः तीन आठ नौ शून्य नौ शून्य, छः तीन आठ नौ शून्य नौ शून्य _END
191,MAN_AT_268_63A, SIX THREE,छः तीन, छः तीन _END
192,MAN_AT_269_64A, SIX FOUR,छः चार, छः चार _END
193,MAN_AT_270_69A, SIX NINE,छः नौ, छः नौ _END
194,MAN_AT_271_6B, SIX,छः, छः _END
195,MAN_AT_272_722A, SEVEN TWO TWO,सात दो दो, सात दो दो _END
196,MAN_AT_273_736883OA, SEVEN THREE SIX EIGHT EIGHT THREE ZERO,सात तीन छः आठ आठ तीन शून्य, सात तीन छः आठ आठ तीन शून्य _END
197,MAN_AT_274_7647A, SEVEN SIX FOUR SEVEN,सात छः चार सात, सात छः चार सात _END
198,MAN_AT_275_79A, SEVEN NINE,सात नौ, सात नौ _END
199,MAN_AT_276_7A, SEVEN,सात, सात _END
200,MAN_AT_277_7B, SEVEN,सात, सात _END
201,MAN_AT_278_7OA, SEVEN ZERO,सात शून्य, सात शून्य _END
202,MAN_AT_279_81O91A, EIGHT ONE ZERO NINE ONE,आठ एक शून्य नौ एक, आठ एक शून्य नौ एक _END
203,MAN_AT_280_81ZA, EIGHT ONE ZERO,आठ एक शून्य, आठ एक शून्य _END
204,MAN_AT_281_8429332A, EIGHT FOUR TWO NINE THREE THREE TWO,आठ चार दो नौ तीन तीन दो, आठ चार दो नौ तीन तीन दो _END
205,MAN_AT_282_861A, EIGHT SIX ONE,आठ छः एक, आठ छः एक _END
206,MAN_AT_283_87585Z1A, EIGHT SEVEN FIVE EIGHT FIVE ZERO ONE,आठ सात पांच आठ पांच शून्य एक, आठ सात पांच आठ पांच शून्य एक _END
207,MAN_AT_284_8A, EIGHT,आठ, आठ _END
208,MAN_AT_285_8B, EIGHT,आठ, आठ _END
209,MAN_AT_286_9278A, NINE TWO SEVEN EIGHT,नौ दो सात आठ, नौ दो सात आठ _END
210,MAN_AT_287_9286ZA, NINE TWO EIGHT SIX ZERO,नौ दो आठ छः शून्य, नौ दो आठ छः शून्य _END
211,MAN_AT_288_951A, NINE FIVE ONE,नौ पांच एक, नौ पांच एक _END
212,MAN_AT_289_9A, NINE,नौ, नौ _END
213,MAN_AT_290_9B, NINE,नौ, नौ _END
214,MAN_AT_291_9O66OA, NINE ZERO SIX SIX ZERO,नौ शून्य छः छः शून्य, नौ शून्य छः छः शून्य _END
215,MAN_AT_292_9ZA, NINE ZERO,नौ शून्य, नौ शून्य _END
216,MAN_AT_293_O15OA, ZERO ONE FIVE ZERO,शून्य एक पांच शून्य, शून्य एक पांच शून्य _END
217,MAN_AT_294_O59A, ZERO FIVE NINE,शून्य पांच नौ, शून्य पांच नौ _END
218,MAN_AT_295_O882A, ZERO EIGHT EIGHT TWO,शून्य आठ आठ दो, शून्य आठ आठ दो _END
219,MAN_AT_296_O98A, ZERO NINE EIGHT,शून्य नौ आठ, शून्य नौ आठ _END
220,MAN_AT_297_OA, ZERO,शून्य, शून्य _END
221,MAN_AT_298_OB, ZERO,शून्य, शून्य _END
222,MAN_AT_299_OO37O72A, ZERO ZERO THREE SEVEN ZERO SEVEN TWO,शून्य शून्य तीन सात शून्य सात दो, शून्य शून्य तीन सात शून्य सात दो _END
223,MAN_AT_300_Z119A, ZERO ONE ONE NINE,शून्य एक एक नौ, एक शून्य एक नौ _END
224,MAN_AT_301_Z6778Z8A, ZERO SIX SEVEN SEVEN EIGHT ZERO EIGHT,शून्य छः सात सात आठ शून्य आठ, शून्य छः सात सात आठ शून्य आठ _END
225,MAN_AT_302_Z7962A, ZERO SEVEN NINE SIX TWO,शून्य सात नौ छः दो, शून्य सात नौ छः दो _END
226,MAN_AT_303_Z7A, ZERO SEVEN,शून्य सात, शून्य सात _END
227,MAN_AT_304_ZA, ZERO,शून्य, शून्य _END
228,MAN_AT_305_ZB, ZERO,शून्य, शून्य _END
229,MAN_AT_306_ZZA, ZERO ZERO,शून्य शून्य, शून्य शून्य _END
230,MAN_BC_307_3ZA, THREE ZERO,तीन शून्य, तीन शून्य _END
231,MAN_BC_308_6A, SIX,छः, छः _END
232,MAN_BC_309_147OOA, ONE FOUR SEVEN ZERO ZERO,एक चार सात शून्य शून्य, एक चार सात शून्य शून्य _END
233,MAN_BC_310_14O1A, ONE FOUR ZERO ONE,एक चार शून्य एक, एक चार शून्य एक _END
234,MAN_BC_311_15ZZ277A, ONE FIVE ZERO ZERO TWO SEVEN SEVEN,एक पांच शून्य शून्य दो सात सात, एक पांच शून्य शून्य दो सात सात _END
235,MAN_BC_312_187ZA, ONE EIGHT SEVEN ZERO,एक आठ सात शून्य, एक आठ सात शून्य _END
236,MAN_BC_313_1A, ONE,एक, एक _END
237,MAN_BC_314_1B, ONE,एक, एक _END
238,MAN_BC_315_1O35217A, ONE ZERO THREE FIVE TWO ONE SEVEN,एक शून्य तीन पांच दो एक सात, एक शून्य तीन पांच दो एक सात _END
239,MAN_BC_316_21A, TWO ONE,दो एक, दो एक _END
240,MAN_BC_317_226A, TWO TWO SIX,दो दो छः, दो दो छः _END
241,MAN_BC_318_25ZA, TWO FIVE ZERO,दो पांच शून्य, दो पांच शून्य _END
242,MAN_BC_319_2A, TWO,दो, दो _END
243,MAN_BC_320_2B, TWO,दो, दो _END
244,MAN_BC_321_2Z5Z8A, TWO ZERO FIVE ZERO EIGHT,दो शून्य पांच शून्य आठ, दो शून्य पांच शून्य आठ _END
245,MAN_BC_322_2ZA, TWO ZERO,दो शून्य, दो शून्य _END
246,MAN_BC_323_311Z656A, THREE ONE ONE ZERO SIX FIVE SIX,तीन एक एक शून्य छः पांच छः, तीन एक एक शून्य छः पांच छः _END
247,MAN_BC_324_37348A, THREE SEVEN THREE FOUR EIGHT,तीन सात तीन चार आठ, तीन सात तीन चार आठ _END
248,MAN_BC_325_3A, THREE,तीन, तीन _END
249,MAN_BC_326_3B, THREE,तीन, तीन _END
250,MAN_BC_327_3O79A, THREE ZERO SEVEN NINE,तीन शून्य सात नौ, तीन शून्य सात नौ _END
251,MAN_BC_328_3ZB, THREE ZERO,तीन शून्य, तीन शून्य _END
252,MAN_BC_329_41A, FOUR ONE,चार एक, चार एक _END
253,MAN_BC_330_4336463A, FOUR THREE THREE SIX FOUR SIX THREE,चार तीन तीन छः चार छः तीन, चार तीन तीन छः चार छः तीन _END
254,MAN_BC_331_446A, FOUR FOUR SIX,चार चार छः, चार चार छः _END
255,MAN_BC_332_4518395A, FOUR FIVE ONE EIGHT THREE NINE FIVE,चार पांच एक आठ तीन नौ पांच, चार पांच एक आठ तीन नौ पांच _END
256,MAN_BC_333_472A, FOUR SEVEN TWO,चार सात दो, चार सात दो _END
257,MAN_BC_334_4A, FOUR,चार, चार _END
258,MAN_BC_335_4B, FOUR,चार, चार _END
259,MAN_BC_336_536A, FIVE THREE SIX,पांच तीन छः, पांच तीन छः _END
260,MAN_BC_337_54A, FIVE FOUR,पांच चार, पांच चार _END
261,MAN_BC_338_5811244A, FIVE EIGHT ONE ONE TWO FOUR FOUR,पांच आठ एक एक दो चार चार, पांच आठ एक एक दो चार चार _END
262,MAN_BC_339_58A, FIVE EIGHT,पांच आठ, पांच आठ _END
263,MAN_BC_340_5A, FIVE,पांच, पांच _END
264,MAN_BC_341_5B, FIVE,पांच, पांच _END
265,MAN_BC_342_5O38523A, FIVE ZERO THREE EIGHT FIVE TWO THREE,पांच शून्य तीन आठ पांच दो तीन, पांच शून्य तीन आठ पांच दो तीन _END
266,MAN_BC_343_66Z9A, SIX SIX ZERO NINE,छः छः शून्य नौ, छः छः शून्य नौ _END
267,MAN_BC_344_67A, SIX SEVEN,छः सात, छः सात _END
268,MAN_BC_345_687A, SIX EIGHT SEVEN,छः आठ सात, छः आठ सात _END
269,MAN_BC_346_699A, SIX NINE NINE,छः नौ नौ, छः नौ नौ _END
270,MAN_BC_347_6B, SIX,छः, छः _END
271,MAN_BC_348_6O92OO4A, SIX ZERO NINE TWO ZERO ZERO FOUR,छः शून्य नौ दो शून्य शून्य चार, छः शून्य नौ दो शून्य शून्य चार _END
272,MAN_BC_349_71ZA, SEVEN ONE ZERO,सात एक शून्य, सात एक शून्य _END
273,MAN_BC_350_73O8A, SEVEN THREE ZERO EIGHT,सात तीन शून्य आठ, सात तीन शून्य आठ _END
274,MAN_BC_351_75A, SEVEN FIVE,सात पांच, सात पांच _END
275,MAN_BC_352_76A, SEVEN SIX,सात छः, सात छः _END
276,MAN_BC_353_78O1A, SEVEN EIGHT ZERO ONE,सात आठ शून्य एक, सात आठ शून्य एक _END
277,MAN_BC_354_7A, SEVEN,सात, सात _END
278,MAN_BC_355_7B, SEVEN,सात, सात _END
